fecha,hora,vuelo,origen,estado
2025-11-09,19:15,IBE5676,PARIS /ORLY (ORY),No informado
2025-11-09,19:25,RYR641,MANCHESTER (MAN),No informado
2025-11-09,19:35,WZZ2079,CRACOVIA (KRK),No informado
2025-11-09,19:35,BAW410,LONDRES / HEATHROW (LHR),No informado
2025-11-09,19:45,AEA4011,PALMA DE MALLORCA (PMI),No informado
2025-11-09,19:55,TVF4628,PARIS /ORLY (ORY),No informado
2025-11-09,20:00,TRA6331,AMSTERDAM /SCHIPHOL (AMS),No informado
2025-11-09,20:10,ASL592,BELGRADO (BEG),No informado
2025-11-09,20:10,RYR6423,BOLONIA (BLQ),No informado
2025-11-09,20:15,EZS1371,GINEBRA (GVA),No informado
2025-11-09,20:20,RYR8712,PISA / GALILEO GALILEI (PSA),No informado
2025-11-09,20:25,VLG6243,ROMA /FIUMICINO (FCO),No informado
2025-11-09,20:25,IBE5595,ROMA /FIUMICINO (FCO),No informado
2025-11-09,20:25,QTR4678,ROMA /FIUMICINO (FCO),No informado
2025-11-09,20:30,RYR3488,LANZAROTE CÉSAR MANRIQUE (ACE),No informado
2025-11-09,20:35,WMT6045,ROMA /FIUMICINO (FCO),No informado
2025-11-09,20:40,RYR1736,LONDRES /STANSTED (STN),No informado
2025-11-09,20:50,RYR2985,BRUSELAS (BRU),No informado
2025-11-09,20:50,EZY6499,LONDRES /GATWICK (LGW),No informado
2025-11-09,21:10,RYR7267,TREVISO/S.ANGELO (MIL) (TSF),No informado
2025-11-09,21:15,RYR7470,MILAN /MALPENSA (MXP),No informado
2025-11-09,21:20,TVS1054,PRAGA (PRG),No informado
2025-11-09,21:20,EWG3014,PRAGA (PRG),No informado
2025-11-09,21:35,RYR645,MALAGA-COSTA DEL SOL (AGP),No informado
2025-11-09,21:40,ANE8052,(GRX),No informado
2025-11-09,21:50,VLG3954,PALMA DE MALLORCA (PMI),No informado
2025-11-09,21:50,IBE5550,PALMA DE MALLORCA (PMI),No informado
2025-11-09,22:00,IBE2376,BARCELONA-EL PRAT JOSEP TARRADELLAS (BCN),No informado
2025-11-09,22:00,VLG5776,BARCELONA-EL PRAT JOSEP TARRADELLAS (BCN),No informado
2025-11-09,22:00,QTR8075,BARCELONA-EL PRAT JOSEP TARRADELLAS (BCN),No informado
2025-11-09,22:00,FIN5583,BARCELONA-EL PRAT JOSEP TARRADELLAS (BCN),No informado
2025-11-09,22:20,IBE2441,MENORCA (MAH),No informado
2025-11-09,22:20,VLG5841,MENORCA (MAH),No informado
2025-11-09,22:40,RYR6325,LONDRES /STANSTED (STN),No informado
2025-11-09,22:55,RYR1611,BARI /PALESE (BRI),No informado
2025-11-09,23:00,KLM1535,AMSTERDAM /SCHIPHOL (AMS),No informado
2025-11-09,23:10,AFR1492,PARIS /CHARLES DE GAULLE (CDG),No informado
2025-11-09,23:25,IBE2431,IBIZA (IBZ),No informado
2025-11-09,23:25,VLG5831,IBIZA (IBZ),No informado
2025-11-09,23:30,TAP1096,LISBOA (LIS),No informado
2025-11-09,23:30,LOT4712,LISBOA (LIS),No informado
2025-11-09,23:30,AZU7290,LISBOA (LIS),No informado
2025-11-09,23:30,ACA2673,LISBOA (LIS),No informado
2025-11-09,23:30,RZO8728,LISBOA (LIS),No informado
2025-11-09,23:30,UAE4896,LISBOA (LIS),No informado
2025-11-09,23:35,IBE2380,MALAGA-COSTA DEL SOL (AGP),No informado
2025-11-09,23:35,VLG5780,MALAGA-COSTA DEL SOL (AGP),No informado
2025-11-09,23:35,QTR8074,MALAGA-COSTA DEL SOL (AGP),No informado
2025-11-09,23:35,RYR7201,GRAN CANARIA (LPA),No informado
2025-11-10,00:05,IBE1083,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,00:05,QTR6884,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,00:05,LAN1749,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,00:05,AVA6096,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,00:05,VLG5312,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,00:05,FIN5609,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,00:05,JAL9407,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,00:05,RAM5441,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,00:10,RYR3791,BRUSELAS /CHARLEROI (CRL),No informado
2025-11-10,00:15,IBE2404,PALMA DE MALLORCA (PMI),No informado
2025-11-10,00:15,VLG5980,PALMA DE MALLORCA (PMI),No informado
2025-11-10,00:20,VLG8350,AMSTERDAM /SCHIPHOL (AMS),No informado
