id,name,iata,icao,callsign,country,active
2505,Gain Jet Aviation,,GNJ,HERCULES JET,Greece,false
2506,Galair International,,SWF,GALAIR,United Kingdom,false
2507,Galaircervis,,GLS,GALS,Ukraine,false
2509,Galaxy Airlines,,GXY,GALAX,Japan,false
2510,Galena Air Service,,GAS,GALENA AIR SERVICE,United States,false
2512,Gama Aviation,,GMA,GAMA,United Kingdom,false
2514,Gambia New Millennium Air,,NML,NEWMILL,Gambia,false
2515,Gamisa Aviacion,,GMJ,GAMISA,Spain,false
2517,Gander Aviation,,GAN,GANAIR,Canada,false
2518,Garden State Airlines,,GSA,GARDEN STATE,United States,false
2519,Garrison Aviation,,AHM,AIR HURON,Canada,false
2520,Garuda Indonesia,GA,GIA,INDONESIA,Indonesia,true
2521,Gatari Hutama Air Services,,GHS,GATARI,Indonesia,false
2522,Gauteng Air Cargo,,EGO,GAUTENG,South Africa,false
2523,Gavina,,GVN,GAVINA,Spain,false
2524,Gazpromavia,4G,GZP,GAZPROMAVIA,Russia,true
2525,Geesair,,GEE,GEESAIR,Canada,false
2526,Gemini Air Cargo,GR,GCO,GEMINI,United States,false
2527,Gendall Air,,GAB,GENDALL,Canada,false
2528,Gendarmerie Belge,,GDB,BELGIAN GENERMERIE,Belgium,false
2529,Gendarmie Nationale,,FGN,FRANCE GENDARME,France,false
2530,General Aerospace,,SWK,SKYWALKER,Canada,false
2531,General Airways,,GWS,GENAIR,South Africa,false
2532,General Aviation,,GNZ,GONZO,Poland,false
2533,General Aviation Flying Services,,GTH,GOTHAM,United States,false
2534,General Aviation Terminal,,XGA,,Canada,false
2535,General Motors,,GMC,GENERAL MOTORS,United States,false
2536,Genex,,GNX,,Belarus,false
2537,Geographic Air Surveys,,GSL,SURVEY-CANADA,Canada,false
2538,Georgian Airways,A9,TGZ,TAMAZI,Georgia,true
2539,Georgian Aviation Federation,,FGA,GEORGIA FED,Georgia,false
2540,Georgian Cargo Airlines Africa,,GGF,GEORGIAN AFRICA,Senegal,false
2541,Georgian National Airlines,QB,GFG,NATIONAL,Georgia,true
2542,DLR,,GPL,GERMAN POLAR,Germany,false
