"fecha";"hora";"vuelo";"origen";"estado";"franja_horaria";"icao";"iata";"numero_vuelo"
"2025-11-09";"18:25";"IBB5802";"GRAN CANARIA (LPA)";"No informado";"Noche";"IBB";"LPA";"5802"
"2025-11-09";"18:40";"VLG8473";"LONDRES /GATWICK (LGW)";"No informado";"Noche";"VLG";"LGW";"8473"
"2025-11-09";"18:40";"RYR4486";"PALERMO /PUNTA RAISI (PMO)";"No informado";"Noche";"RYR";"PMO";"4486"
"2025-11-09";"18:50";"WZZ2385";"BUDAPEST (BUD)";"No informado";"Noche";"WZZ";"BUD";"2385"
"2025-11-09";"19:00";"SWR2146";"ZURICH (ZRH)";"No informado";"Noche";"SWR";"ZRH";"2146"
"2025-11-09";"19:05";"EWG538";"KOELN/BONN (CGN)";"No informado";"Noche";"EWG";"CGN";"538"
"2025-11-09";"19:05";"RYR2208";"SEVILLA (SVQ)";"No informado";"Noche";"RYR";"SVQ";"2208"
"2025-11-09";"19:15";"RYR6836";"NAPOLES (NAP)";"No informado";"Noche";"RYR";"NAP";"6836"
"2025-11-09";"19:15";"VLG8155";"PARIS /ORLY (ORY)";"No informado";"Noche";"VLG";"ORY";"8155"
"2025-11-09";"19:25";"RYR641";"MANCHESTER (MAN)";"No informado";"Noche";"RYR";"MAN";"641"
"2025-11-09";"19:35";"WZZ2079";"CRACOVIA (KRK)";"No informado";"Noche";"WZZ";"KRK";"2079"
"2025-11-09";"19:35";"BAW410";"LONDRES / HEATHROW (LHR)";"No informado";"Noche";"BAW";"LHR";"410"
"2025-11-09";"19:45";"AEA4011";"PALMA DE MALLORCA (PMI)";"No informado";"Noche";"AEA";"PMI";"4011"
"2025-11-09";"19:55";"TVF4628";"PARIS /ORLY (ORY)";"No informado";"Noche";"TVF";"ORY";"4628"
"2025-11-09";"20:00";"TRA6331";"AMSTERDAM /SCHIPHOL (AMS)";"No informado";"Noche";"TRA";"AMS";"6331"
"2025-11-09";"20:10";"ASL592";"BELGRADO (BEG)";"No informado";"Noche";"ASL";"BEG";"592"
"2025-11-09";"20:10";"RYR6423";"BOLONIA (BLQ)";"No informado";"Noche";"RYR";"BLQ";"6423"
"2025-11-09";"20:15";"EZS1371";"GINEBRA (GVA)";"No informado";"Noche";"EZS";"GVA";"1371"
"2025-11-09";"20:20";"RYR8712";"PISA / GALILEO GALILEI (PSA)";"No informado";"Noche";"RYR";"PSA";"8712"
"2025-11-09";"20:25";"VLG6243";"ROMA /FIUMICINO (FCO)";"No informado";"Noche";"VLG";"FCO";"6243"
"2025-11-09";"20:30";"RYR3488";"LANZAROTE CÉSAR MANRIQUE (ACE)";"No informado";"Noche";"RYR";"ACE";"3488"
"2025-11-09";"20:35";"WMT6045";"ROMA /FIUMICINO (FCO)";"No informado";"Noche";"WMT";"FCO";"6045"
"2025-11-09";"20:40";"RYR1736";"LONDRES /STANSTED (STN)";"No informado";"Noche";"RYR";"STN";"1736"
"2025-11-09";"20:50";"RYR2985";"BRUSELAS (BRU)";"No informado";"Noche";"RYR";"BRU";"2985"
"2025-11-09";"20:50";"EZY6499";"LONDRES /GATWICK (LGW)";"No informado";"Noche";"EZY";"LGW";"6499"
