Año,Mes,País,Compañía,ICAO,Pasajeros,Vuelos,Ratio_Pax_Vuelo
2022,12,FRANCIA,"VOLOTEA, S.L.",VOE,756,5,151.2
2022,4,FRANCIA,"VOLOTEA, S.L.",VOE,742,5,148.4
2022,2,MARRUECOS,ROYAL AIR MAROC,RAM,742,19,39.05
2022,4,MARRUECOS,ROYAL AIR MAROC,RAM,720,17,42.35
2022,2,MARRUECOS,AIR ARABIA MAROC,MAC,713,6,118.83
2022,11,REINO UNIDO,RYANAIR UK LIMITED,RUK,696,4,174
2022,7,LETONIA,AIR BALTIC CORPORATION JSC,BTI,684,5,136.8
2022,3,MARRUECOS,AIR ARABIA MAROC,MAC,678,9,75.33
2022,1,BELGICA,BRUSSELS AIRLINES N.V./S.A.,BEL,657,8,82.12
2022,6,GRECIA,AEGEAN AIRLINES,AEE,652,5,130.4
2022,5,LETONIA,AIR BALTIC CORPORATION JSC,BTI,604,5,120.8
2022,9,LUXEMBURGO,LUXAIR - SOCIETE LUXEMBOURGEOI,LGL,587,9,65.22
2022,7,MARRUECOS,AIR ARABIA MAROC,MAC,584,8,73
2022,9,LETONIA,AIR BALTIC CORPORATION JSC,BTI,578,4,144.5
2022,7,LUXEMBURGO,LUXAIR - SOCIETE LUXEMBOURGEOI,LGL,575,9,63.89
2022,6,LETONIA,AIR BALTIC CORPORATION JSC,BTI,539,4,134.75
2022,1,FEDERACION RUSA,AEROFLOT - RUSSIAN AIRLINES,AFL,530,5,106
2022,10,LETONIA,AIR BALTIC CORPORATION JSC,BTI,529,4,132.25
2022,8,LETONIA,AIR BALTIC CORPORATION JSC,BTI,528,4,132
2022,2,BELGICA,BRUSSELS AIRLINES N.V./S.A.,BEL,527,3,175.67
2022,11,EGIPTO,AIR CAIRO,MSC,523,6,87.17
2022,8,LUXEMBURGO,LUXAIR - SOCIETE LUXEMBOURGEOI,LGL,523,9,58.11
2022,10,BELGICA,TUI FLY (TUI AIRLINES BELGIUM),JAF,520,5,104
2022,2,ITALIA,"VUELING AIRLINES, S.A.",VLG,511,4,127.75
2022,10,MARRUECOS,AIR ARABIA MAROC,MAC,508,8,63.5
2022,5,LUXEMBURGO,LUXAIR - SOCIETE LUXEMBOURGEOI,LGL,496,9,55.11
2022,5,REPUBLICA DE SERBIA,AIR SERBIA,ASL,492,8,61.5
2022,10,LUXEMBURGO,LUXAIR - SOCIETE LUXEMBOURGEOI,LGL,483,9,53.67
2022,4,LETONIA,AIR BALTIC CORPORATION JSC,BTI,483,4,120.75
2022,4,LUXEMBURGO,LUXAIR - SOCIETE LUXEMBOURGEOI,LGL,474,9,52.67
2022,6,LUXEMBURGO,LUXAIR - SOCIETE LUXEMBOURGEOI,LGL,472,8,59
2022,4,REPUBLICA DE SERBIA,AIR SERBIA,ASL,455,4,113.75
2022,12,MARRUECOS,AIR ARABIA MAROC,MAC,446,7,63.71
2022,5,MARRUECOS,AIR ARABIA MAROC,MAC,414,7,59.14
2022,2,FEDERACION RUSA,AEROFLOT - RUSSIAN AIRLINES,AFL,401,4,100.25
2022,1,FRANCIA,TRANSAVIA FRANCE,TVF,399,4,99.75
2022,11,ESPAÑA,AIR CAIRO,MSC,391,0,0
2022,12,EGIPTO,AIR CAIRO,MSC,372,4,93
2022,11,MARRUECOS,AIR ARABIA MAROC,MAC,361,7,51.57
2022,4,MARRUECOS,AIR ARABIA MAROC,MAC,350,7,50
2022,8,NORUEGA,FLYR,FOX,348,4,87
2022,6,MARRUECOS,AIR ARABIA MAROC,MAC,309,8,38.62
2022,8,FRANCIA,AIR NOSTRUM L.A. MEDITERRANEO,ANE,306,9,34
2022,7,FRANCIA,AIR NOSTRUM L.A. MEDITERRANEO,ANE,285,7,40.71
2022,3,REINO UNIDO,RYANAIR UK LIMITED,RUK,239,2,119.5
2022,3,SUIZA,EASYJET SWITZERLAND SA,EZS,192,2,96
2022,4,ALEMANIA,"TUIFLY GMBH, LANGENHAGEN",TUI,186,1,186
2022,1,PORTUGAL,"VUELING AIRLINES, S.A.",VLG,179,3,59.67
2022,6,NORUEGA,FLYR,FOX,177,1,177
2022,3,MALTA,RYANAIR DAC,RYR,144,2,72
2022,9,FRANCIA,"VOLOTEA, S.L.",VOE,109,1,109
2022,3,LETONIA,AIR BALTIC CORPORATION JSC,BTI,107,1,107
2022,5,FRANCIA,"VOLOTEA, S.L.",VOE,105,1,105
2022,10,ESPAÑA,ROYAL AIR MAROC,RAM,100,0,0
2022,5,ESPAÑA,KLM ROYAL DUTCH AIRLINES,KLM,89,1,89
2022,11,ESPAÑA,ROYAL AIR MAROC,RAM,81,0,0
2022,10,REPUBLICA CHECA,"SMARTWINGS, A.S.",TVS,81,1,81
2022,10,ESPAÑA,AIR CAIRO,MSC,80,0,0
2022,9,ESPAÑA,ROYAL AIR MAROC,RAM,77,0,0
2022,1,ESPAÑA,TRANSAVIA FRANCE,TVF,52,1,52
2022,12,ESPAÑA,ROYAL AIR MAROC,RAM,51,0,0
2022,12,ESPAÑA,AIR CAIRO,MSC,47,0,0
2022,9,FRANCIA,AIR NOSTRUM L.A. MEDITERRANEO,ANE,33,1,33
2022,11,LUXEMBURGO,LUXAIR - SOCIETE LUXEMBOURGEOI,LGL,31,1,31
2022,10,EGIPTO,AIR CAIRO,MSC,4,1,4
2022,12,ALEMANIA,UPS UNITED PARCEL SERVICE,UPS,0,20,0
2022,12,BELGICA,ASL AIRLINES BELGIUM,TAY,0,1,0
2022,12,BELGICA,WEST ATLANTIC SWEDEN AB,SWN,0,11,0
2022,12,ESPAÑA,ASL AIRLINES BELGIUM,TAY,0,2,0
2022,12,ESPAÑA,EUROPEAN AIR TRANSPORT LEIPZIG,BCS,0,22,0
2022,12,ESPAÑA,WEST ATLANTIC SWEDEN AB,SWN,0,2,0
2022,12,FRANCIA,ASL AIRLINES BELGIUM,TAY,0,1,0
2022,12,FRANCIA,WEST ATLANTIC SWEDEN AB,SWN,0,4,0
2022,11,ALEMANIA,UPS UNITED PARCEL SERVICE,UPS,0,21,0
2022,11,BELGICA,ASL AIRLINES BELGIUM,TAY,0,11,0
2022,11,ESPAÑA,ASL AIRLINES BELGIUM,TAY,0,6,0
2022,11,ESPAÑA,EUROPEAN AIR TRANSPORT LEIPZIG,BCS,0,22,0
2022,11,ESPAÑA,UPS UNITED PARCEL SERVICE,UPS,0,0,0
2022,11,FRANCIA,ASL AIRLINES BELGIUM,TAY,0,4,0
2022,10,ALEMANIA,UPS UNITED PARCEL SERVICE,UPS,0,20,0
2022,10,BELGICA,ASL AIRLINES BELGIUM,TAY,0,15,0
2022,10,ESPAÑA,EUROPEAN AIR TRANSPORT LEIPZIG,BCS,0,21,0
2022,10,FRANCIA,ASL AIRLINES BELGIUM,TAY,0,5,0
2022,9,ALEMANIA,UPS UNITED PARCEL SERVICE,UPS,0,21,0
2022,9,BELGICA,ASL AIRLINES BELGIUM,TAY,0,18,0
2022,9,ESPAÑA,EUROPEAN AIR TRANSPORT LEIPZIG,BCS,0,22,0
2022,9,FRANCIA,ASL AIRLINES BELGIUM,TAY,0,4,0
2022,8,ALEMANIA,UPS UNITED PARCEL SERVICE,UPS,0,22,0
2022,8,BELGICA,ASL AIRLINES BELGIUM,TAY,0,18,0
2022,8,ESPAÑA,EUROPEAN AIR TRANSPORT LEIPZIG,BCS,0,23,0
2022,8,FRANCIA,ASL AIRLINES BELGIUM,TAY,0,4,0
