Año,Mes,País,Aeropuerto,IATA,Pasajeros,Vuelos,Ratio_Pax_Vuelo
2022,6,IRLANDA,DUBLIN,DUB,3151,17,185.35
2022,6,IRLANDA,CORK,ORK,1626,9,180.67
2022,6,AUSTRIA,VIENA  /INTERNACIONAL,VIE,4618,28,164.93
2022,6,POLONIA,CRACOVIA /JUAN PABLO II INTERN,KRK,1736,9,192.89
2022,6,POLONIA,GDANSK/REBIECHOWO,GDN,1405,8,175.62
2022,6,MALTA,MALTA / LUQA,MLA,2261,13,173.92
2022,6,BULGARIA,SOFIA ,SOF,2003,13,154.08
2022,6,REPUBLICA CHECA,PRAGA /RUZYNE,PRG,1825,15,121.67
2022,6,HUNGRIA,BUDAPEST/ FERIHEGY,BUD,1671,9,185.67
2022,6,REPUBLICA DE SERBIA,BELGRADO / BEOGRAD,BEG,930,9,103.33
2022,6,GRECIA,ATENAS/ATHINAI,ATH,652,5,130.4
2022,6,LETONIA,RIGA,RIX,539,4,134.75
2022,6,LUXEMBURGO,LUXEMBURGO,LUX,472,8,59
2022,6,NORUEGA,OSLO / GARDERMOEN,OSL,177,1,177
2022,5,ESPAÑA,PALMA DE MALLORCA,PMI,27978,270,103.62
2022,5,ESPAÑA,IBIZA,IBZ,15294,135,113.29
2022,5,ESPAÑA,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,11973,151,79.29
2022,5,ESPAÑA,SEVILLA,SVQ,9512,94,101.19
2022,5,ESPAÑA,BILBAO,BIO,8326,96,86.73
2022,5,ESPAÑA,SANTIAGO-ROSALÍA DE CASTRO,SCQ,6161,38,162.13
2022,5,ESPAÑA,MENORCA,MAH,5887,65,90.57
2022,5,ESPAÑA,TENERIFE NORTE-C. LA LAGUNA,TFN,5574,39,142.92
2022,5,ESPAÑA,GRAN CANARIA,LPA,4927,35,140.77
2022,5,ESPAÑA,MÁLAGA-COSTA DEL SOL,AGP,3698,40,92.45
2022,5,ESPAÑA,ASTURIAS,OVD,2613,18,145.17
2022,5,ESPAÑA,BARCELONA-EL PRAT J.T.,BCN,2603,27,96.41
2022,5,ESPAÑA,A CORUÑA,LCG,2220,18,123.33
2022,5,ESPAÑA,LANZAROTE CÉSAR MANRIQUE,ACE,2012,16,125.75
2022,5,ESPAÑA,SANTANDER-SEVE BALLESTEROS,SDR,1897,13,145.92
2022,5,ESPAÑA,TENERIFE SUR,TFS,1536,9,170.67
2022,5,ESPAÑA,VIGO,VGO,510,9,56.67
2022,5,ESPAÑA,FUERTEVENTURA,FUE,365,5,73
2022,5,ESPAÑA,SALAMANCA/ MATACAN,SLM,192,2,96
2022,5,ESPAÑA,ALICANTE-ELCHE MIGUEL HDEZ.,ALC,89,1,89
2022,5,ESPAÑA,VITORIA,VIT,0,21,0
2022,5,ITALIA,ROMA / FIUMICINO,FCO,11252,67,167.94
2022,5,ITALIA,MILAN/BERGAMO,BGY,6377,36,177.14
2022,5,ITALIA,BOLONIA/ GUGLIELMO MARCONI,BLQ,6339,36,176.08
2022,5,ITALIA,MILAN /MALPENSA,MXP,6171,35,176.31
2022,5,ITALIA,PISA / GALILEO GALILEI,PSA,3458,22,157.18
2022,5,ITALIA,TREVISO/S.ANGELO (MIL),TSF,3050,17,179.41
2022,5,ITALIA,NAPOLES,NAP,2408,14,172
2022,5,ITALIA,TRIESTE / RONCHI DEI LEGIONARI,TRS,1557,9,173
2022,5,ITALIA,BARI /PALESE,BRI,1538,9,170.89
2022,5,ITALIA,PALERMO /PUNTA RAISI,PMO,1536,9,170.67
2022,5,ITALIA,TURIN /CITTA DI TORINO,TRN,1534,9,170.44
2022,5,ITALIA,CAGLIARI / ELMAS,CAG,1518,9,168.67
2022,5,ALEMANIA,FRANKFURT/INTERNACIONAL,FRA,12714,78,163
2022,5,ALEMANIA,DUSSELDORF,DUS,4720,31,152.26
2022,5,ALEMANIA,MUNICH /FRANZ JOSEF STRAUSS,MUC,4313,31,139.13
2022,5,ALEMANIA,BERLIN BRANDENBURG,BER,3828,22,174
2022,5,ALEMANIA,KOELN/BONN,CGN,3188,39,81.74
2022,5,ALEMANIA,HAMBURGO/ FUHLSBUETTEL,HAM,3075,22,139.77
2022,5,ALEMANIA,STUTTGART/ ECHTERDINGEN,STR,2440,18,135.56
2022,5,ALEMANIA,KARLSRUHE-BADEN BAD/SOELLINGEN,FKB,1575,9,175
2022,5,ALEMANIA,NUREMBERG,NUE,1533,9,170.33
2022,5,HOLANDA,AMSTERDAM/SCHIPHOL,AMS,17506,134,130.64
2022,5,HOLANDA,EINDHOVEN,EIN,13200,79,167.09
2022,5,HOLANDA,ROTTERDAM,RTM,2451,18,136.17
2022,5,REINO UNIDO,LONDRES/GATWICK,LGW,14153,100,141.53
2022,5,REINO UNIDO,LONDRES /STANSTED,STN,7352,44,167.09
2022,5,REINO UNIDO,LONDRES / HEATHROW,LHR,4173,29,143.9
2022,5,REINO UNIDO,MANCHESTER /INTERNACIONAL,MAN,3076,18,170.89
2022,5,REINO UNIDO,EAST MIDLANDS,EMA,1452,9,161.33
2022,5,REINO UNIDO,BRISTOL,BRS,1399,9,155.44
2022,5,REINO UNIDO,EDIMBURGO/ TURNHOUSE,EDI,1375,8,171.88
2022,5,FRANCIA,PARIS /ORLY,ORY,13594,85,159.93
2022,5,FRANCIA,PARIS/ CHARLES DE GAULLE,CDG,8236,65,126.71
2022,5,FRANCIA,TOULOUSE /BLAGNAC,TLS,1819,13,139.92
2022,5,FRANCIA,NANTES / ATLANTIQUE,NTE,1592,9,176.89
2022,5,FRANCIA,MARSELLA,MRS,1457,9,161.89
2022,5,FRANCIA,PARIS /BEAUVAIS-TILLE AIRPORT,BVA,1430,9,158.89
2022,5,FRANCIA,BURDEOS,BOD,1420,9,157.78
2022,5,FRANCIA,PERPIGNAN  /LLABANERE,PGF,439,8,54.88
2022,5,FRANCIA,LYON SAINT-EXUPERY,LYS,105,1,105
2022,5,BELGICA,BRUSELAS,BRU,12187,76,160.36
2022,5,BELGICA,BRUSELAS/CHARLEROI,CRL,3126,18,173.67
2022,5,BELGICA,LIEGE /BIERSET,LGG,0,17,0
2022,5,PORTUGAL,LISBOA,LIS,8253,91,90.69
2022,5,PORTUGAL,OPORTO,OPO,3714,22,168.82
2022,5,PORTUGAL,FARO,FAO,1211,9,134.56
2022,5,SUIZA,ZURICH,ZRH,7768,62,125.29
2022,5,SUIZA,BASEL/MULHOUSE EUROAIRPORT CH,BSL,1601,11,145.55
2022,5,SUIZA,GINEBRA/COINTRIN,GVA,1045,9,116.11
2022,5,RUMANIA,BUCAREST /OTOPENI INTERNACIONA,OTP,5839,33,176.94
2022,5,RUMANIA,CLUJ NAPOCA/SOMESENI,CLJ,2353,13,181
2022,5,RUMANIA,TIMISOARA,TSR,1369,9,152.11
2022,5,MARRUECOS,MARRAKECH /MENARA,RAK,2122,14,151.57
2022,5,MARRUECOS,TANGER /BOUKHALEF,TNG,1729,16,108.06
2022,5,MARRUECOS,CASABLANCA/ MOHAMED V,CMN,887,26,34.12
2022,5,MARRUECOS,FEZ/SAIS,FEZ,741,5,148.2
2022,5,MARRUECOS,AGADIR/AL MASSIRA,AGA,632,9,70.22
2022,5,TURQUIA,ISTANBUL HAVALIMANI,IST,4371,31,141
2022,5,AUSTRIA,VIENA  /INTERNACIONAL,VIE,3538,21,168.48
2022,5,POLONIA,CRACOVIA /JUAN PABLO II INTERN,KRK,1704,9,189.33
2022,5,POLONIA,GDANSK/REBIECHOWO,GDN,1553,9,172.56
2022,5,IRLANDA,DUBLIN,DUB,2519,14,179.93
2022,5,BULGARIA,SOFIA ,SOF,2052,13,157.85
2022,5,MALTA,MALTA / LUQA,MLA,1968,13,151.38
2022,5,HUNGRIA,BUDAPEST/ FERIHEGY,BUD,1599,9,177.67
2022,5,REPUBLICA CHECA,PRAGA /RUZYNE,PRG,1014,9,112.67
2022,5,LETONIA,RIGA,RIX,604,5,120.8
2022,5,LUXEMBURGO,LUXEMBURGO,LUX,496,9,55.11
2022,5,REPUBLICA DE SERBIA,BELGRADO / BEOGRAD,BEG,492,8,61.5
2022,4,ESPAÑA,PALMA DE MALLORCA,PMI,28494,255,111.74
2022,4,ESPAÑA,IBIZA,IBZ,14044,130,108.03
2022,4,ESPAÑA,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,10822,150,72.15
2022,4,ESPAÑA,SEVILLA,SVQ,10335,108,95.69
2022,4,ESPAÑA,BILBAO,BIO,7560,81,93.33
2022,4,ESPAÑA,MENORCA,MAH,6733,70,96.19
2022,4,ESPAÑA,SANTIAGO-ROSALÍA DE CASTRO,SCQ,6373,45,141.62
2022,4,ESPAÑA,TENERIFE NORTE-C. LA LAGUNA,TFN,5829,40,145.72
2022,4,ESPAÑA,GRAN CANARIA,LPA,4819,31,155.45
2022,4,ESPAÑA,MÁLAGA-COSTA DEL SOL,AGP,3598,38,94.68
2022,4,ESPAÑA,BARCELONA-EL PRAT J.T.,BCN,2802,25,112.08
2022,4,ESPAÑA,ASTURIAS,OVD,2519,17,148.18
2022,4,ESPAÑA,SANTANDER-SEVE BALLESTEROS,SDR,2076,13,159.69
