"Aeropuerto";"Año";"Mes";"País";"Operaciones Totales";"Pasajeros Totales";"PAX_medio";"iata_aeropuerto"
"BERLIN BRANDENBURG";"2025";"Enero      de 2025";"ALEMANIA";"26,000";"4,209";"0,1618846153846154";"BER"
"BERLIN BRANDENBURG";"2022";"Junio      de 2022";"ALEMANIA";"21,000";"3,702";"0,1762857142857143";"BER"
"BERLIN BRANDENBURG";"2024";"Junio      de 2024";"ALEMANIA";"29,000";"4,861";"0,1676206896551724";"BER"
"BERLIN BRANDENBURG";"2022";"Octubre    de 2022";"ALEMANIA";"23,000";"4,009";"0,1743043478260870";"BER"
"BERLIN BRANDENBURG";"2025";"Marzo      de 2025";"ALEMANIA";"38,000";"6,467";"0,1701842105263158";"BER"
"BERLIN BRANDENBURG";"2023";"Diciembre  de 2023";"ALEMANIA";"28,000";"4,770";"0,1703571428571428";"BER"
"BERLIN BRANDENBURG";"2023";"Enero      de 2023";"ALEMANIA";"16,000";"2,611";"0,1631875000000000";"BER"
"BERLIN BRANDENBURG";"2022";"Noviembre  de 2022";"ALEMANIA";"17,000";"2,730";"0,1605882352941176";"BER"
"BERLIN BRANDENBURG";"2022";"Diciembre  de 2022";"ALEMANIA";"16,000";"2,718";"0,1698750000000000";"BER"
"BERLIN BRANDENBURG";"2023";"Abril      de 2023";"ALEMANIA";"37,000";"6,659";"0,1799729729729730";"BER"
"BERLIN BRANDENBURG";"2022";"Julio      de 2022";"ALEMANIA";"18,000";"3,156";"0,1753333333333333";"BER"
"BERLIN BRANDENBURG";"2025";"Mayo       de 2025";"ALEMANIA";"34,000";"5,933";"0,1745000000000000";"BER"
"BERLIN BRANDENBURG";"2025";"Junio      de 2025";"ALEMANIA";"32,000";"5,521";"0,1725312500000000";"BER"
"BERLIN BRANDENBURG";"2024";"Abril      de 2024";"ALEMANIA";"38,000";"6,607";"0,1738684210526316";"BER"
"BERLIN BRANDENBURG";"2024";"Octubre    de 2024";"ALEMANIA";"37,000";"6,313";"0,1706216216216216";"BER"
"BERLIN BRANDENBURG";"2024";"Agosto     de 2024";"ALEMANIA";"23,000";"4,274";"0,1858260869565218";"BER"
"BERLIN BRANDENBURG";"2023";"Junio      de 2023";"ALEMANIA";"27,000";"4,666";"0,1728148148148148";"BER"
"BERLIN BRANDENBURG";"2022";"Mayo       de 2022";"ALEMANIA";"22,000";"3,828";"0,1740000000000000";"BER"
"BERLIN BRANDENBURG";"2025";"Agosto     de 2025";"ALEMANIA";"27,000";"4,919";"0,1821851851851852";"BER"
"BERLIN BRANDENBURG";"2023";"Julio      de 2023";"ALEMANIA";"26,000";"4,518";"0,1737692307692308";"BER"
"BERLIN BRANDENBURG";"2024";"Enero      de 2024";"ALEMANIA";"28,000";"4,435";"0,1583928571428571";"BER"
"BERLIN BRANDENBURG";"2022";"Agosto     de 2022";"ALEMANIA";"18,000";"2,930";"0,1627777777777778";"BER"
