"Icao_Aerolinea";"Iata_Aeropuerto";"Fecha";"Hora";"Vuelo";"Origen";"Estado";"Numero_Vuelo";"Nombre_Aeropuerto";"Ciudad_Aeropuerto";"País_Aeropuerto";"Icao_Aeropuerto";"Latitud";"Longitud";"Altitud";"Zona_Horaria";"Nombre_Aerolinea";"País_Aerolinea";"PAX_Medio_Aeropuerto";"PAX_Medio_Compania";"PAX_Medio_Total";"franja_horaria"
"ASL";"BEG";"2025-11-16";"20:10";"ASL592";"BELGRADO (BEG)";"No informado";"592";"Belgrade Nikola Tesla Airport";"Belgrade";"Serbia";"LYBE";"44,8184013367000";"20,30909919740000";"335";"Europe/Belgrade";"Air Serbia";"Serbia";"125,0934090909091";"78,630142857142857";"101,8617759740260";"Noche"
"ASL";"BEG";"2025-11-20";"20:00";"ASL9030";"BELGRADO (BEG)";"No informado";"9030";"Belgrade Nikola Tesla Airport";"Belgrade";"Serbia";"LYBE";"44,8184013367000";"20,30909919740000";"335";"Europe/Belgrade";"Air Serbia";"Serbia";"125,0934090909091";"78,630142857142857";"101,8617759740260";"Noche"
"AUA";"VIE";"2025-11-18";"12:40";"AUA431";"VIENA (VIE)";"No informado";"431";"Vienna International Airport";"Vienna";"Austria";"LOWW";"48,1102981567380";"16,56970024108900";"600";"Europe/Vienna";"Austrian Airlines";"Austria";"161,7025531914894";"148,754523809523818";"155,2285385005066";"Tarde"
"AUA";"VIE";"2025-11-09";"12:30";"AUA431";"VIENA (VIE)";"En vuelo";"431";"Vienna International Airport";"Vienna";"Austria";"LOWW";"48,1102981567380";"16,56970024108900";"600";"Europe/Vienna";"Austrian Airlines";"Austria";"161,7025531914894";"148,754523809523818";"155,2285385005066";"Tarde"
"AVA";"MAD";"2025-11-10";"00:05";"AVA6096";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"6096";"Adolfo Suárez Madrid–Barajas Airport";"Madrid";"Spain";"LEMD";"40,4719260000000";"-3,56264000000000";"1998";"Europe/Madrid";"Avianca";"Colombia";"94,2604255319149";"0,000000000000000";"47,1302127659574";"Madrugada"
"AZU";"LIS";"2025-11-21";"11:15";"AZU7351";"LISBOA (LIS)";"No informado";"7351";"Humberto Delgado Airport (Lisbon Portela Airport)";"Lisbon";"Portugal";"LPPT";"38,7813000000000";"-9,13592000000000";"374";"Europe/Lisbon";"Azul";"Brazil";"101,4665957446808";"0,000000000000000";"50,7332978723404";"Mañana"
"AZU";"LIS";"2025-11-10";"11:10";"AZU7351";"LISBOA (LIS)";"No informado";"7351";"Humberto Delgado Airport (Lisbon Portela Airport)";"Lisbon";"Portugal";"LPPT";"38,7813000000000";"-9,13592000000000";"374";"Europe/Lisbon";"Azul";"Brazil";"101,4665957446808";"0,000000000000000";"50,7332978723404";"Mañana"
"AZU";"LIS";"2025-11-09";"11:40";"AZU7351";"LISBOA (LIS)";"Aproximándose";"7351";"Humberto Delgado Airport (Lisbon Portela Airport)";"Lisbon";"Portugal";"LPPT";"38,7813000000000";"-9,13592000000000";"374";"Europe/Lisbon";"Azul";"Brazil";"101,4665957446808";"0,000000000000000";"50,7332978723404";"Mañana"
"BAW";"LHR";"2025-11-17";"15:50";"BAW410";"LONDRES / HEATHROW (LHR)";"No informado";"410";"London Heathrow Airport";"London";"United Kingdom";"EGLL";"51,4706000000000";"-0,46194100000000";"83";"Europe/London";"British Airways";"United Kingdom";"132,8917021276596";"96,183076923076925";"114,5373895253683";"Tarde"
"BAW";"LHR";"2025-11-09";"19:35";"BAW410";"LONDRES / HEATHROW (LHR)";"No informado";"410";"London Heathrow Airport";"London";"United Kingdom";"EGLL";"51,4706000000000";"-0,46194100000000";"83";"Europe/London";"British Airways";"United Kingdom";"132,8917021276596";"96,183076923076925";"114,5373895253683";"Noche"
"BAW";"LGW";"2025-11-21";"22:55";"BAW8067";"LONDRES /GATWICK (LGW)";"No informado";"8067";"London Gatwick Airport";"London";"United Kingdom";"EGKK";"51,1481020000000";"-0,19027800000000";"202";"Europe/London";"British Airways";"United Kingdom";"147,6336170212766";"96,183076923076925";"121,9083469721768";"Noche"
"BAW";"LHR";"2025-11-20";"11:15";"BAW410";"LONDRES / HEATHROW (LHR)";"No informado";"410";"London Heathrow Airport";"London";"United Kingdom";"EGLL";"51,4706000000000";"-0,46194100000000";"83";"Europe/London";"British Airways";"United Kingdom";"132,8917021276596";"96,183076923076925";"114,5373895253683";"Mañana"
"BAW";"LGW";"2025-11-17";"22:40";"BAW8067";"LONDRES /GATWICK (LGW)";"No informado";"8067";"London Gatwick Airport";"London";"United Kingdom";"EGKK";"51,1481020000000";"-0,19027800000000";"202";"Europe/London";"British Airways";"United Kingdom";"147,6336170212766";"96,183076923076925";"121,9083469721768";"Noche"
"BAW";"LHR";"2025-11-15";"17:20";"BAW410";"LONDRES / HEATHROW (LHR)";"No informado";"410";"London Heathrow Airport";"London";"United Kingdom";"EGLL";"51,4706000000000";"-0,46194100000000";"83";"Europe/London";"British Airways";"United Kingdom";"132,8917021276596";"96,183076923076925";"114,5373895253683";"Tarde"
"BAW";"LGW";"2025-11-09";"18:40";"BAW8067";"LONDRES /GATWICK (LGW)";"No informado";"8067";"London Gatwick Airport";"London";"United Kingdom";"EGKK";"51,1481020000000";"-0,19027800000000";"202";"Europe/London";"British Airways";"United Kingdom";"147,6336170212766";"96,183076923076925";"121,9083469721768";"Noche"
"BAW";"LGW";"2025-11-20";"22:20";"BAW8067";"LONDRES /GATWICK (LGW)";"No informado";"8067";"London Gatwick Airport";"London";"United Kingdom";"EGKK";"51,1481020000000";"-0,19027800000000";"202";"Europe/London";"British Airways";"United Kingdom";"147,6336170212766";"96,183076923076925";"121,9083469721768";"Noche"
"BAW";"LHR";"2025-11-18";"16:10";"BAW410";"LONDRES / HEATHROW (LHR)";"No informado";"410";"London Heathrow Airport";"London";"United Kingdom";"EGLL";"51,4706000000000";"-0,46194100000000";"83";"Europe/London";"British Airways";"United Kingdom";"132,8917021276596";"96,183076923076925";"114,5373895253683";"Tarde"
"BAW";"LHR";"2025-11-21";"20:15";"BAW410";"LONDRES / HEATHROW (LHR)";"No informado";"410";"London Heathrow Airport";"London";"United Kingdom";"EGLL";"51,4706000000000";"-0,46194100000000";"83";"Europe/London";"British Airways";"United Kingdom";"132,8917021276596";"96,183076923076925";"114,5373895253683";"Noche"
"BAW";"LGW";"2025-11-22";"12:25";"BAW8067";"LONDRES /GATWICK (LGW)";"No informado";"8067";"London Gatwick Airport";"London";"United Kingdom";"EGKK";"51,1481020000000";"-0,19027800000000";"202";"Europe/London";"British Airways";"United Kingdom";"147,6336170212766";"96,183076923076925";"121,9083469721768";"Tarde"
"BEL";"BRU";"2025-11-16";"12:00";"BEL3751";"BRUSELAS (BRU)";"No informado";"3751";"Brussels Airport";"Brussels";"Belgium";"EBBR";"50,9014015198000";"4,48443984985000";"184";"Europe/Brussels";"Brussels Airlines";"Belgium";"161,3989361702128";"145,952340425531901";"153,6756382978724";"Tarde"
"BEL";"BRU";"2025-11-12";"20:35";"BEL3751";"BRUSELAS (BRU)";"No informado";"3751";"Brussels Airport";"Brussels";"Belgium";"EBBR";"50,9014015198000";"4,48443984985000";"184";"Europe/Brussels";"Brussels Airlines";"Belgium";"161,3989361702128";"145,952340425531901";"153,6756382978724";"Noche"
"BEL";"BRU";"2025-11-21";"12:55";"BEL3751";"BRUSELAS (BRU)";"No informado";"3751";"Brussels Airport";"Brussels";"Belgium";"EBBR";"50,9014015198000";"4,48443984985000";"184";"Europe/Brussels";"Brussels Airlines";"Belgium";"161,3989361702128";"145,952340425531901";"153,6756382978724";"Tarde"
"BEL";"BRU";"2025-11-15";"19:20";"BEL3751";"BRUSELAS (BRU)";"No informado";"3751";"Brussels Airport";"Brussels";"Belgium";"EBBR";"50,9014015198000";"4,48443984985000";"184";"Europe/Brussels";"Brussels Airlines";"Belgium";"161,3989361702128";"145,952340425531901";"153,6756382978724";"Noche"
