"Compañía";"Año";"Mes";"País";"Operaciones Totales";"Pasajeros Totales";"PAX_medio";"icao_aerolinea"
"AIR NOSTRUM L.A. MEDITERRANEO";"2022";"Febrero    de 2022";"ESPAÑA";"288,000";"18,158";"0,0630486111111111";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2025";"Septiembre de 2025";"ESPAÑA";"311,000";"19,136";"0,0615305466237942";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2022";"Enero      de 2022";"ESPAÑA";"307,000";"15,007";"0,0488827361563518";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2022";"Agosto     de 2022";"FRANCIA";"9,000";"306,000";"34,0000000000000000";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2024";"Enero      de 2024";"ESPAÑA";"317,000";"17,420";"0,0549526813880126";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2024";"Mayo       de 2024";"ESPAÑA";"412,000";"25,085";"0,0608859223300971";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2023";"Octubre    de 2023";"ESPAÑA";"414,000";"25,758";"0,0622173913043478";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2023";"Mayo       de 2023";"ESPAÑA";"401,000";"22,568";"0,0562793017456359";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2022";"Abril      de 2022";"ESPAÑA";"377,000";"21,915";"0,0581299734748011";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2022";"Noviembre  de 2022";"ESPAÑA";"335,000";"21,077";"0,0629164179104478";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2024";"Agosto     de 2024";"PORTUGAL";"8,000";"671,000";"83,8750000000000000";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2025";"Marzo      de 2025";"ESPAÑA";"373,000";"23,648";"0,0633994638069705";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2022";"Julio      de 2022";"ESPAÑA";"351,000";"20,958";"0,0597094017094017";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2025";"Agosto     de 2025";"PORTUGAL";"4,000";"366,000";"91,5000000000000000";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2024";"Octubre    de 2024";"ESPAÑA";"379,000";"23,845";"0,0629155672823219";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2022";"Diciembre  de 2022";"ESPAÑA";"313,000";"18,025";"0,0575878594249201";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2023";"Agosto     de 2023";"PORTUGAL";"5,000";"467,000";"93,4000000000000057";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2022";"Septiembre de 2022";"ESPAÑA";"374,000";"22,758";"0,0608502673796791";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2024";"Noviembre  de 2024";"ESPAÑA";"361,000";"22,293";"0,0617534626038781";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2024";"Diciembre  de 2024";"ESPAÑA";"341,000";"20,874";"0,0612140762463343";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2023";"Junio      de 2023";"FRANCIA";"6,000";"218,000";"36,3333333333333357";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2023";"Marzo      de 2023";"ESPAÑA";"355,000";"23,449";"0,0660535211267606";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2024";"Abril      de 2024";"ESPAÑA";"387,000";"22,480";"0,0580878552971576";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2024";"Julio      de 2024";"PORTUGAL";"6,000";"330,000";"55,0000000000000000";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2022";"Junio      de 2022";"ESPAÑA";"371,000";"21,715";"0,0585309973045822";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2023";"Septiembre de 2023";"PORTUGAL";"2,000";"178,000";"89,0000000000000000";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2024";"Septiembre de 2024";"PORTUGAL";"3,000";"179,000";"59,6666666666666643";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2022";"Julio      de 2022";"FRANCIA";"7,000";"285,000";"40,7142857142857153";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2025";"Marzo      de 2025";"FRANCIA";"0,000";NA;NA;"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2023";"Noviembre  de 2023";"ESPAÑA";"353,000";"21,821";"0,0618158640226629";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2023";"Septiembre de 2023";"ESPAÑA";"389,000";"23,651";"0,0607994858611825";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2022";"Septiembre de 2022";"FRANCIA";"1,000";"33,000";"33,0000000000000000";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2023";"Agosto     de 2023";"ESPAÑA";"295,000";"19,596";"0,0664271186440678";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2025";"Enero      de 2025";"ESPAÑA";"377,000";"22,944";"0,0608594164456233";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2025";"Agosto     de 2025";"ESPAÑA";"307,000";"20,841";"0,0678859934853420";"ANE"
"AIR NOSTRUM L.A. MEDITERRANEO";"2023";"Diciembre  de 2023";"ESPAÑA";"325,000";"18,742";"0,0576676923076923";"ANE"
"AIR SERBIA";"2024";"Febrero    de 2024";"REPUBLICA DE SERBIA";"9,000";"1,075";"0,1194444444444444";"ASL"
"AIR SERBIA";"2025";"Abril      de 2025";"ESPAÑA";"0,000";NA;NA;"ASL"
"AIR SERBIA";"2024";"Marzo      de 2024";"REPUBLICA DE SERBIA";"9,000";"1,218";"0,1353333333333333";"ASL"
"AIR SERBIA";"2025";"Noviembre  de 2025";"REPUBLICA DE SERBIA";"9,000";"991,000";"110,1111111111111143";"ASL"
"AIR SERBIA";"2024";"Julio      de 2024";"ESPAÑA";"0,000";NA;NA;"ASL"
"AIR SERBIA";"2025";"Junio      de 2025";"ESPAÑA";"0,000";NA;NA;"ASL"
"AIR SERBIA";"2025";"Enero      de 2025";"REPUBLICA DE SERBIA";"9,000";"922,000";"102,4444444444444429";"ASL"
"AIR SERBIA";"2024";"Mayo       de 2024";"ESPAÑA";"0,000";NA;NA;"ASL"
"AIR SERBIA";"2022";"Junio      de 2022";"REPUBLICA DE SERBIA";"9,000";"930,000";"103,3333333333333286";"ASL"
"AIR SERBIA";"2024";"Marzo      de 2024";"ESPAÑA";"0,000";NA;NA;"ASL"
"AIR SERBIA";"2024";"Septiembre de 2024";"ESPAÑA";"0,000";NA;NA;"ASL"
"AIR SERBIA";"2022";"Septiembre de 2022";"REPUBLICA DE SERBIA";"9,000";"1,120";"0,1244444444444445";"ASL"
"AIR SERBIA";"2023";"Septiembre de 2023";"REPUBLICA DE SERBIA";"12,000";"1,770";"0,1475000000000000";"ASL"
"AIR SERBIA";"2024";"Abril      de 2024";"REPUBLICA DE SERBIA";"9,000";"1,361";"0,1512222222222222";"ASL"
"AIR SERBIA";"2024";"Octubre    de 2024";"REPUBLICA DE SERBIA";"9,000";"1,433";"0,1592222222222222";"ASL"
"AIR SERBIA";"2024";"Febrero    de 2024";"ESPAÑA";"0,000";NA;NA;"ASL"
"AIR SERBIA";"2024";"Agosto     de 2024";"REPUBLICA DE SERBIA";"9,000";"1,521";"0,1690000000000000";"ASL"
"AIR SERBIA";"2024";"Mayo       de 2024";"REPUBLICA DE SERBIA";"12,000";"1,434";"0,1195000000000000";"ASL"
"AIR SERBIA";"2022";"Agosto     de 2022";"REPUBLICA DE SERBIA";"8,000";"971,000";"121,3750000000000000";"ASL"
"AIR SERBIA";"2024";"Enero      de 2024";"ESPAÑA";"0,000";NA;NA;"ASL"
"AIR SERBIA";"2024";"Junio      de 2024";"REPUBLICA DE SERBIA";"9,000";"1,289";"0,1432222222222222";"ASL"
"AIR SERBIA";"2024";"Septiembre de 2024";"REPUBLICA DE SERBIA";"9,000";"1,445";"0,1605555555555556";"ASL"
"AIR SERBIA";"2023";"Junio      de 2023";"REPUBLICA DE SERBIA";"11,000";"1,358";"0,1234545454545455";"ASL"
"AIR SERBIA";"2024";"Diciembre  de 2024";"REPUBLICA DE SERBIA";"9,000";"954,000";"106,0000000000000000";"ASL"
"AIR SERBIA";"2023";"Octubre    de 2023";"REPUBLICA DE SERBIA";"13,000";"1,613";"0,1240769230769231";"ASL"
"AIR SERBIA";"2023";"Marzo      de 2023";"REPUBLICA DE SERBIA";"9,000";"1,179";"0,1310000000000000";"ASL"
"AIR SERBIA";"2025";"Junio      de 2025";"REPUBLICA DE SERBIA";"13,000";"1,606";"0,1235384615384615";"ASL"
"AIR SERBIA";"2025";"Julio      de 2025";"REPUBLICA DE SERBIA";"14,000";"1,662";"0,1187142857142857";"ASL"
"AIR SERBIA";"2025";"Agosto     de 2025";"REPUBLICA DE SERBIA";"13,000";"1,656";"0,1273846153846154";"ASL"
"AIR SERBIA";"2024";"Enero      de 2024";"REPUBLICA DE SERBIA";"8,000";"742,000";"92,7500000000000000";"ASL"
