Fecha,Hora,Vuelo,Origen,Estado,Aerolinea,Pais_Aerolinea,Aeropuerto,Ciudad,Pais_Origen,IATA,ICAO_Cia,PAX_Estimado,Franja_Horaria
2025-11-12,19:45,VLG8155,PARIS /ORLY (ORY),No informado,Vueling Airlines,Spain,Paris-Orly Airport,Paris,France,ORY,VLG,152,Noche
2025-11-12,19:45,AEA4011,PALMA DE MALLORCA (PMI),No informado,Air Europa,Spain,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,AEA,102,Noche
2025-11-12,20:00,VLG5776,BARCELONA-EL PRAT JOSEP TARRADELLAS (BCN),No informado,Vueling Airlines,Spain,Barcelona International Airport,Barcelona,Spain,BCN,VLG,152,Noche
2025-11-12,20:00,WMT3411,CLUJ NAPOCA/SOMESENI (CLJ),No informado,Wizz Air Malta,Malta,Cluj-Napoca International Airport,Cluj-napoca,Romania,CLJ,WMT,198,Noche
2025-11-12,20:05,IBE2393,SEVILLA (SVQ),No informado,Iberia Airlines,Spain,Sevilla Airport,Sevilla,Spain,SVQ,IBE,1,Noche
2025-11-12,20:05,RYR616,IBIZA (IBZ),No informado,RYANAIR DAC,Ireland,Ibiza Airport,Ibiza,Spain,IBZ,RYR,170,Noche
2025-11-12,20:15,RYR1003,ROMA /FIUMICINO (FCO),No informado,RYANAIR DAC,Ireland,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,FCO,RYR,170,Noche
2025-11-12,20:30,IBE5548,PALMA DE MALLORCA (PMI),No informado,Iberia Airlines,Spain,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,IBE,1,Noche
2025-11-12,20:30,IBE5554,BILBAO (BIO),No informado,Iberia Airlines,Spain,Bilbao Airport,Bilbao,Spain,BIO,IBE,1,Noche
2025-11-12,20:35,BEL3751,BRUSELAS (BRU),No informado,Brussels Airlines,Belgium,Brussels Airport,Brussels,Belgium,BRU,BEL,146,Noche
2025-11-12,20:45,EZY8013,LONDRES /GATWICK (LGW),No informado,easyJet,United Kingdom,London Gatwick Airport,London,United Kingdom,LGW,EZY,NA,Noche
2025-11-12,20:55,IBE2400,PALMA DE MALLORCA (PMI),No informado,Iberia Airlines,Spain,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,IBE,1,Noche
2025-11-12,21:10,RYR1718,EINDHOVEN (EIN),No informado,RYANAIR DAC,Ireland,Eindhoven Airport,Eindhoven,Netherlands,EIN,RYR,170,Noche
2025-11-12,22:45,RYR7201,GRAN CANARIA (LPA),No informado,RYANAIR DAC,Ireland,Gran Canaria Airport,Gran Canaria,Spain,LPA,RYR,170,Noche
2025-11-12,23:00,KLM1535,AMSTERDAM /SCHIPHOL (AMS),No informado,KLM Royal Dutch Airlines,Netherlands,Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,KLM,101,Noche
2025-11-12,23:10,AFR1492,PARIS /CHARLES DE GAULLE (CDG),No informado,Air France,France,Charles de Gaulle International Airport,Paris,France,CDG,AFR,80,Noche
2025-11-12,23:20,DLH1164,FRANKFURT (FRA),No informado,Lufthansa,Germany,Frankfurt am Main Airport,Frankfurt,Germany,FRA,DLH,159,Noche
2025-11-12,23:25,VLG5831,IBIZA (IBZ),No informado,Vueling Airlines,Spain,Ibiza Airport,Ibiza,Spain,IBZ,VLG,152,Noche
2025-11-12,23:30,TAP1096,LISBOA (LIS),No informado,TAP Portugal,Portugal,Humberto Delgado Airport (Lisbon Portela Airport),Lisbon,Portugal,LIS,TAP,77,Noche
2025-11-12,23:35,QTR8074,MALAGA-COSTA DEL SOL (AGP),No informado,Qatar Airways,Qatar,Málaga Airport,Malaga,Spain,AGP,QTR,0,Noche
2025-11-13,00:05,AVA6096,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado,Avianca,Colombia,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,MAD,AVA,0,Madrugada
2025-11-13,00:50,IBE1085,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado,Iberia Airlines,Spain,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,MAD,IBE,1,Madrugada
2025-11-13,07:50,RYR999,ROMA /FIUMICINO (FCO),No informado,RYANAIR DAC,Ireland,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,FCO,RYR,170,Mañana
2025-11-13,07:55,SWR2130,GINEBRA (GVA),No informado,Swiss International Air Lines,Switzerland,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,SWR,134,Mañana
2025-11-13,08:05,ETD7519,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado,Etihad Airways,United Arab Emirates,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,MAD,ETD,0,Mañana
2025-11-13,08:15,IBE2382,MALAGA-COSTA DEL SOL (AGP),No informado,Iberia Airlines,Spain,Málaga Airport,Malaga,Spain,AGP,IBE,1,Mañana
2025-11-13,08:25,RYR2257,KOELN/BONN (CGN),No informado,RYANAIR DAC,Ireland,Cologne Bonn Airport,Cologne,Germany,CGN,RYR,170,Mañana
2025-11-13,08:55,IBE5783,PARIS /ORLY (ORY),No informado,Iberia Airlines,Spain,Paris-Orly Airport,Paris,France,ORY,IBE,1,Mañana
2025-11-13,09:00,ASL590,BELGRADO (BEG),No informado,Spurling Aviation,United States,Belgrade Nikola Tesla Airport,Belgrade,Serbia,BEG,ASL,79,Mañana
2025-11-13,09:00,ASL590,BELGRADO (BEG),No informado,Air Serbia,Serbia,Belgrade Nikola Tesla Airport,Belgrade,Serbia,BEG,ASL,79,Mañana
2025-11-13,09:05,AAL8715,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado,American Airlines,United States,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,MAD,AAL,0,Mañana
2025-11-13,09:05,RYR5540,TANGER (TNG),No informado,RYANAIR DAC,Ireland,Ibn Batouta Airport,Tanger,Morocco,TNG,RYR,170,Mañana
2025-11-13,09:05,WZZ1337,VARSOVIA (WAW),No informado,Wizz Air,Hungary,Warsaw Chopin Airport,Warsaw,Poland,WAW,WZZ,196,Mañana
2025-11-13,09:05,TRA6331,AMSTERDAM /SCHIPHOL (AMS),No informado,Transavia Holland,Netherlands,Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,TRA,162,Mañana
2025-11-13,09:10,RYR7215,PALMA DE MALLORCA (PMI),No informado,RYANAIR DAC,Ireland,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,RYR,170,Mañana
2025-11-13,09:10,SWR2140,ZURICH (ZRH),No informado,Swiss International Air Lines,Switzerland,Zürich Airport,Zurich,Switzerland,ZRH,SWR,134,Mañana
2025-11-13,09:20,EWG9538,DUSSELDORF (DUS),No informado,Eurowings,Germany,Düsseldorf Airport,Duesseldorf,Germany,DUS,EWG,108,Mañana
2025-11-13,09:20,TVF4620,PARIS /ORLY (ORY),No informado,Transavia France,France,Paris-Orly Airport,Paris,France,ORY,TVF,159,Mañana
2025-11-13,09:25,RYR1740,DUBLIN (DUB),No informado,RYANAIR DAC,Ireland,Dublin Airport,Dublin,Ireland,DUB,RYR,170,Mañana
2025-11-13,09:45,RYR4741,POZNAN /LAWICA (POZ),No informado,RYANAIR DAC,Ireland,Poznań-Ławica Airport,Poznan,Poland,POZ,RYR,170,Mañana
2025-11-13,09:55,RYR802,VIENA (VIE),No informado,RYANAIR DAC,Ireland,Vienna International Airport,Vienna,Austria,VIE,RYR,170,Mañana
2025-11-13,10:20,RYR2229,CRACOVIA (KRK),No informado,RYANAIR DAC,Ireland,Kraków John Paul II International Airport,Krakow,Poland,KRK,RYR,170,Mañana
2025-11-13,10:25,RYR1444,MILAN /MALPENSA (MXP),No informado,RYANAIR DAC,Ireland,Malpensa International Airport,Milano,Italy,MXP,RYR,170,Mañana
2025-11-13,10:35,RYR497,MILAN/BERGAMO (BGY),No informado,RYANAIR DAC,Ireland,Il Caravaggio International Airport,Bergamo,Italy,BGY,RYR,170,Mañana
2025-11-13,10:40,WMT3185,BUCAREST (OTP),No informado,Wizz Air Malta,Malta,Henri Coandă International Airport,Bucharest,Romania,OTP,WMT,198,Mañana
2025-11-13,10:55,RYR6248,TREVISO/S.ANGELO (MIL) (TSF),No informado,RYANAIR DAC,Ireland,NA,NA,NA,MIL,RYR,170,Mañana
2025-11-13,10:55,THY1301,ESTAMBUL (IST),No informado,Turkish Airlines,Turkey,Istanbul Airport,Istanbul,Turkey,IST,THY,139,Mañana
2025-11-13,10:55,RYR643,LONDRES /STANSTED (STN),No informado,RYANAIR DAC,Ireland,London Stansted Airport,London,United Kingdom,STN,RYR,170,Mañana
2025-11-13,11:00,IBE2433,IBIZA (IBZ),No informado,Iberia Airlines,Spain,Ibiza Airport,Ibiza,Spain,IBZ,IBE,1,Mañana
2025-11-13,11:00,DLH1840,MUNICH (MUC),No informado,Lufthansa,Germany,Munich Airport,Munich,Germany,MUC,DLH,159,Mañana
2025-11-13,11:15,BAW410,LONDRES / HEATHROW (LHR),No informado,British Airways,United Kingdom,London Heathrow Airport,London,United Kingdom,LHR,BAW,96,Mañana
2025-11-13,11:35,AEA4007,PALMA DE MALLORCA (PMI),No informado,Air Europa,Spain,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,AEA,102,Mañana
2025-11-13,11:35,RYR1611,BARI /PALESE (BRI),No informado,RYANAIR DAC,Ireland,Bari Karol Wojtyła Airport,Bari,Italy,BRI,RYR,170,Mañana
2025-11-13,11:45,IBE2313,BILBAO (BIO),No informado,Iberia Airlines,Spain,Bilbao Airport,Bilbao,Spain,BIO,IBE,1,Mañana
2025-11-13,12:00,AFR1416,PARIS /CHARLES DE GAULLE (CDG),No informado,Air France,France,Charles de Gaulle International Airport,Paris,France,CDG,AFR,80,Tarde
2025-11-13,12:10,DLH1160,FRANKFURT (FRA),No informado,Lufthansa,Germany,Frankfurt am Main Airport,Frankfurt,Germany,FRA,DLH,159,Tarde
2025-11-13,12:15,RYR1003,ROMA /FIUMICINO (FCO),No informado,RYANAIR DAC,Ireland,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,FCO,RYR,170,Tarde
2025-11-13,12:20,VOE3582,ASTURIAS (OVD),No informado,VOLOTEA Airways,Spain,Asturias Airport,Aviles,Spain,OVD,VOE,150,Tarde
2025-11-13,12:25,RYR6836,NAPOLES (NAP),No informado,RYANAIR DAC,Ireland,Naples International Airport,Naples,Italy,NAP,RYR,170,Tarde
2025-11-13,12:25,VLG8352,AMSTERDAM /SCHIPHOL (AMS),No informado,Vueling Airlines,Spain,Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,VLG,152,Tarde
2025-11-13,12:25,EZS1371,GINEBRA (GVA),No informado,EasyJet Switzerland,Switzerland,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,EZS,155,Tarde
2025-11-13,12:40,AUA431,VIENA (VIE),No informado,Austrian Airlines,Austria,Vienna International Airport,Vienna,Austria,VIE,AUA,149,Tarde
2025-11-13,13:30,RYR138,BERLIN BRANDENBURG (BER),No informado,RYANAIR DAC,Ireland,NA,NA,NA,BER,RYR,170,Tarde
2025-11-13,14:00,RYR2301,BUDAPEST (BUD),No informado,RYANAIR DAC,Ireland,Budapest Liszt Ferenc International Airport,Budapest,Hungary,BUD,RYR,170,Tarde
2025-11-13,14:10,SWR2142,ZURICH (ZRH),No informado,Swiss International Air Lines,Switzerland,Zürich Airport,Zurich,Switzerland,ZRH,SWR,134,Tarde
2025-11-13,14:35,VLG5791,SEVILLA (SVQ),No informado,Vueling Airlines,Spain,Sevilla Airport,Sevilla,Spain,SVQ,VLG,152,Tarde
2025-11-13,14:40,WMT6027,ROMA /FIUMICINO (FCO),No informado,Wizz Air Malta,Malta,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,FCO,WMT,198,Tarde
2025-11-13,15:25,RYR952,PISA / GALILEO GALILEI (PSA),No informado,RYANAIR DAC,Ireland,Pisa International Airport,Pisa,Italy,PSA,RYR,170,Tarde
2025-11-13,15:30,IBE5548,PALMA DE MALLORCA (PMI),No informado,Iberia Airlines,Spain,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,IBE,1,Tarde
2025-11-13,15:40,IBE5732,BRUSELAS (BRU),No informado,Iberia Airlines,Spain,Brussels Airport,Brussels,Belgium,BRU,IBE,1,Tarde
2025-11-13,15:50,RYR1710,OPORTO (OPO),No informado,RYANAIR DAC,Ireland,Francisco de Sá Carneiro Airport,Porto,Portugal,OPO,RYR,170,Tarde
2025-11-13,16:10,KLM1531,AMSTERDAM /SCHIPHOL (AMS),No informado,KLM Royal Dutch Airlines,Netherlands,Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,KLM,101,Tarde
2025-11-13,16:15,AMX6858,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado,AeroMéxico,Mexico,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,MAD,AMX,0,Tarde
2025-11-13,16:20,QTR6541,MALAGA-COSTA DEL SOL (AGP),No informado,Qatar Airways,Qatar,Málaga Airport,Malaga,Spain,AGP,QTR,0,Tarde
2025-11-13,16:40,RYR2985,BRUSELAS (BRU),No informado,RYANAIR DAC,Ireland,Brussels Airport,Brussels,Belgium,BRU,RYR,170,Tarde
2025-11-13,16:55,EJU5103,BERLIN BRANDENBURG (BER),No informado,EasyJet,United Kingdom,NA,NA,NA,BER,EJU,159,Tarde
2025-11-13,17:00,RYR2206,SEVILLA (SVQ),No informado,RYANAIR DAC,Ireland,Sevilla Airport,Sevilla,Spain,SVQ,RYR,170,Tarde
2025-11-13,17:05,AAL8714,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado,American Airlines,United States,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,MAD,AAL,0,Tarde
2025-11-13,17:10,THY1313,ESTAMBUL (IST),No informado,Turkish Airlines,Turkey,Istanbul Airport,Istanbul,Turkey,IST,THY,139,Tarde
2025-11-13,17:15,DLH1162,FRANKFURT (FRA),No informado,Lufthansa,Germany,Frankfurt am Main Airport,Frankfurt,Germany,FRA,DLH,159,Tarde
2025-11-13,17:25,VOE3536,BILBAO (BIO),No informado,VOLOTEA Airways,Spain,Bilbao Airport,Bilbao,Spain,BIO,VOE,150,Tarde
2025-11-13,17:30,TAP1094,LISBOA (LIS),No informado,TAP Portugal,Portugal,Humberto Delgado Airport (Lisbon Portela Airport),Lisbon,Portugal,LIS,TAP,77,Tarde
2025-11-13,17:55,AFR1420,PARIS /CHARLES DE GAULLE (CDG),No informado,Air France,France,Charles de Gaulle International Airport,Paris,France,CDG,AFR,80,Tarde
2025-11-13,18:10,RYR993,ROMA /FIUMICINO (FCO),No informado,RYANAIR DAC,Ireland,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,FCO,RYR,170,Noche
2025-11-13,18:25,RYR4728,MILAN/BERGAMO (BGY),No informado,RYANAIR DAC,Ireland,Il Caravaggio International Airport,Bergamo,Italy,BGY,RYR,170,Noche
2025-11-13,18:25,RAM968,CASABLANCA /MOHAMED V (CMN),No informado,Royal Air Maroc,Morocco,Mohammed V International Airport,Casablanca,Morocco,CMN,RAM,33,Noche
2025-11-13,18:30,RYR620,BOLONIA (BLQ),No informado,RYANAIR DAC,Ireland,Bologna Guglielmo Marconi Airport,Bologna,Italy,BLQ,RYR,170,Noche
2025-11-13,18:45,TRA5105,EINDHOVEN (EIN),No informado,Transavia Holland,Netherlands,Eindhoven Airport,Eindhoven,Netherlands,EIN,TRA,162,Noche
2025-11-13,18:50,TRA6441,ROTTERDAM (RTM),No informado,Transavia Holland,Netherlands,Rotterdam The Hague Airport,Rotterdam,Netherlands,RTM,TRA,162,Noche
2025-11-13,19:00,SWR2146,ZURICH (ZRH),No informado,Swiss International Air Lines,Switzerland,Zürich Airport,Zurich,Switzerland,ZRH,SWR,134,Noche
2025-11-13,19:35,WZZ2079,CRACOVIA (KRK),No informado,Wizz Air,Hungary,Kraków John Paul II International Airport,Krakow,Poland,KRK,WZZ,196,Noche
2025-11-13,19:45,IBE5405,TENERIFE NORTE-C. LA LAGUNA (TFN),No informado,Iberia Airlines,Spain,Tenerife Norte Airport,Tenerife,Spain,TFN,IBE,1,Noche
2025-11-13,19:45,VLG8155,PARIS /ORLY (ORY),No informado,Vueling Airlines,Spain,Paris-Orly Airport,Paris,France,ORY,VLG,152,Noche
2025-11-13,19:45,AEA4011,PALMA DE MALLORCA (PMI),No informado,Air Europa,Spain,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,AEA,102,Noche
2025-11-13,19:50,EWG2530,STUTTGART (STR),No informado,Eurowings,Germany,Stuttgart Airport,Stuttgart,Germany,STR,EWG,108,Noche
2025-11-13,20:00,IBE2376,BARCELONA-EL PRAT JOSEP TARRADELLAS (BCN),No informado,Iberia Airlines,Spain,Barcelona International Airport,Barcelona,Spain,BCN,IBE,1,Noche
2025-11-13,20:05,IBE2393,SEVILLA (SVQ),No informado,Iberia Airlines,Spain,Sevilla Airport,Sevilla,Spain,SVQ,IBE,1,Noche
2025-11-13,20:35,WMT6045,ROMA /FIUMICINO (FCO),No informado,Wizz Air Malta,Malta,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,FCO,WMT,198,Noche
2025-11-13,20:40,RYR645,MALAGA-COSTA DEL SOL (AGP),No informado,RYANAIR DAC,Ireland,Málaga Airport,Malaga,Spain,AGP,RYR,170,Noche
2025-11-13,20:45,EZY8013,LONDRES /GATWICK (LGW),No informado,easyJet,United Kingdom,London Gatwick Airport,London,United Kingdom,LGW,EZY,NA,Noche
2025-11-13,20:45,VLG3968,BILBAO (BIO),No informado,Vueling Airlines,Spain,Bilbao Airport,Bilbao,Spain,BIO,VLG,152,Noche
2025-11-13,20:45,RYR3488,LANZAROTE CÉSAR MANRIQUE (ACE),No informado,RYANAIR DAC,Ireland,Lanzarote Airport,Arrecife,Spain,ACE,RYR,170,Noche
2025-11-13,20:55,IBE2400,PALMA DE MALLORCA (PMI),No informado,Iberia Airlines,Spain,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,IBE,1,Noche
2025-11-13,21:10,RYR4486,PALERMO /PUNTA RAISI (PMO),No informado,RYANAIR DAC,Ireland,Falcone–Borsellino Airport,Palermo,Italy,PMO,RYR,170,Noche
2025-11-13,21:20,RYR6325,LONDRES /STANSTED (STN),No informado,RYANAIR DAC,Ireland,London Stansted Airport,London,United Kingdom,STN,RYR,170,Noche
2025-11-13,21:20,EWG3014,PRAGA (PRG),No informado,Eurowings,Germany,Václav Havel Airport Prague,Prague,Czech Republic,PRG,EWG,108,Noche
2025-11-13,21:20,RYR2259,TURIN (TRN),No informado,RYANAIR DAC,Ireland,Turin Airport,Torino,Italy,TRN,RYR,170,Noche
2025-11-13,21:50,VLG1177,GRAN CANARIA (LPA),No informado,Vueling Airlines,Spain,Gran Canaria Airport,Gran Canaria,Spain,LPA,VLG,152,Noche
2025-11-13,21:50,VLG3954,PALMA DE MALLORCA (PMI),No informado,Vueling Airlines,Spain,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,VLG,152,Noche
2025-11-13,22:15,RYR2217,MARRAKECH (RAK),No informado,RYANAIR DAC,Ireland,Menara Airport,Marrakech,Morocco,RAK,RYR,170,Noche
2025-11-13,22:20,VLG8473,LONDRES /GATWICK (LGW),No informado,Vueling Airlines,Spain,London Gatwick Airport,London,United Kingdom,LGW,VLG,152,Noche
2025-11-13,23:00,KLM1535,AMSTERDAM /SCHIPHOL (AMS),No informado,KLM Royal Dutch Airlines,Netherlands,Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,KLM,101,Noche
2025-11-13,23:10,DLH1164,FRANKFURT (FRA),No informado,Lufthansa,Germany,Frankfurt am Main Airport,Frankfurt,Germany,FRA,DLH,159,Noche
2025-11-13,23:10,AFR1492,PARIS /CHARLES DE GAULLE (CDG),No informado,Air France,France,Charles de Gaulle International Airport,Paris,France,CDG,AFR,80,Noche
2025-11-13,23:30,RYR1718,EINDHOVEN (EIN),No informado,RYANAIR DAC,Ireland,Eindhoven Airport,Eindhoven,Netherlands,EIN,RYR,170,Noche
2025-11-13,23:35,QTR8074,MALAGA-COSTA DEL SOL (AGP),No informado,Qatar Airways,Qatar,Málaga Airport,Malaga,Spain,AGP,QTR,0,Noche
2025-11-13,23:35,RYR616,IBIZA (IBZ),No informado,RYANAIR DAC,Ireland,Ibiza Airport,Ibiza,Spain,IBZ,RYR,170,Noche
2025-11-13,23:40,IBE2431,IBIZA (IBZ),No informado,Iberia Airlines,Spain,Ibiza Airport,Ibiza,Spain,IBZ,IBE,1,Noche
2025-11-13,23:45,IBE2406,PALMA DE MALLORCA (PMI),No informado,Iberia Airlines,Spain,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,IBE,1,Noche
2025-11-13,23:50,RYR1687,BRUSELAS /CHARLEROI (CRL),No informado,RYANAIR DAC,Ireland,Brussels South Charleroi Airport,Charleroi,Belgium,CRL,RYR,170,Noche
2025-11-14,00:05,RAM5441,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado,Royal Air Maroc,Morocco,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,MAD,RAM,33,Madrugada
2025-11-14,00:05,VLG8350,AMSTERDAM /SCHIPHOL (AMS),No informado,Vueling Airlines,Spain,Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,VLG,152,Madrugada
2025-11-14,00:50,IBE1085,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado,Iberia Airlines,Spain,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,MAD,IBE,1,Madrugada
2025-11-14,07:50,RYR497,MILAN/BERGAMO (BGY),No informado,RYANAIR DAC,Ireland,Il Caravaggio International Airport,Bergamo,Italy,BGY,RYR,170,Mañana
2025-11-14,08:00,RYR620,BOLONIA (BLQ),No informado,RYANAIR DAC,Ireland,Bologna Guglielmo Marconi Airport,Bologna,Italy,BLQ,RYR,170,Mañana
2025-11-14,08:05,AMX6982,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado,AeroMéxico,Mexico,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,MAD,AMX,0,Mañana
2025-11-14,08:10,RYR2257,KOELN/BONN (CGN),No informado,RYANAIR DAC,Ireland,Cologne Bonn Airport,Cologne,Germany,CGN,RYR,170,Mañana
2025-11-14,08:15,VOE2656,LYON (LYS),No informado,VOLOTEA Airways,Spain,Lyon Saint-Exupéry Airport,Lyon,France,LYS,VOE,150,Mañana
2025-11-14,08:15,IBE2382,MALAGA-COSTA DEL SOL (AGP),No informado,Iberia Airlines,Spain,Málaga Airport,Malaga,Spain,AGP,IBE,1,Mañana
2025-11-14,08:25,IBE5783,PARIS /ORLY (ORY),No informado,Iberia Airlines,Spain,Paris-Orly Airport,Paris,France,ORY,IBE,1,Mañana
2025-11-14,08:40,RYR2301,BUDAPEST (BUD),No informado,RYANAIR DAC,Ireland,Budapest Liszt Ferenc International Airport,Budapest,Hungary,BUD,RYR,170,Mañana
2025-11-14,08:50,LGL763,LUXEMBURGO (LUX),No informado,Luxair,Luxembourg,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,LUX,LGL,61,Mañana
2025-11-14,08:50,RYR138,BERLIN BRANDENBURG (BER),No informado,RYANAIR DAC,Ireland,NA,NA,NA,BER,RYR,170,Mañana
2025-11-14,08:55,RYR802,VIENA (VIE),No informado,RYANAIR DAC,Ireland,Vienna International Airport,Vienna,Austria,VIE,RYR,170,Mañana
2025-11-14,09:00,RYR1710,OPORTO (OPO),No informado,RYANAIR DAC,Ireland,Francisco de Sá Carneiro Airport,Porto,Portugal,OPO,RYR,170,Mañana
2025-11-14,09:05,VLG5580,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado,Vueling Airlines,Spain,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,MAD,VLG,152,Mañana
2025-11-14,09:10,WZZ2385,BUDAPEST (BUD),No informado,Wizz Air,Hungary,Budapest Liszt Ferenc International Airport,Budapest,Hungary,BUD,WZZ,196,Mañana
2025-11-14,09:10,SWR2130,GINEBRA (GVA),No informado,Swiss International Air Lines,Switzerland,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,SWR,134,Mañana
2025-11-14,09:15,VOE2436,BURDEOS (BOD),No informado,VOLOTEA Airways,Spain,Bordeaux-Mérignac Airport,Bordeaux,France,BOD,VOE,150,Mañana
2025-11-14,09:20,RYR641,MANCHESTER (MAN),No informado,RYANAIR DAC,Ireland,Manchester Airport,Manchester,United Kingdom,MAN,RYR,170,Mañana
2025-11-14,09:35,TRA6335,AMSTERDAM /SCHIPHOL (AMS),No informado,Transavia Holland,Netherlands,Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,TRA,162,Mañana
2025-11-14,09:40,RYR5372,FEZ /SAIS (FEZ),No informado,RYANAIR DAC,Ireland,Saïss Airport,Fes,Morocco,FEZ,RYR,170,Mañana
2025-11-14,09:45,RYR2271,SANTIAGO-ROSALÍA DE CASTRO (SCQ),No informado,RYANAIR DAC,Ireland,Santiago de Compostela Airport,Santiago,Spain,SCQ,RYR,170,Mañana
2025-11-14,09:50,EJU7899,AMSTERDAM /SCHIPHOL (AMS),No informado,EasyJet,United Kingdom,Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,EJU,159,Mañana
2025-11-14,09:50,TRA5105,EINDHOVEN (EIN),No informado,Transavia Holland,Netherlands,Eindhoven Airport,Eindhoven,Netherlands,EIN,TRA,162,Mañana
2025-11-14,10:25,RYR616,IBIZA (IBZ),No informado,RYANAIR DAC,Ireland,Ibiza Airport,Ibiza,Spain,IBZ,RYR,170,Mañana
2025-11-14,10:25,EZY8011,LONDRES /GATWICK (LGW),No informado,easyJet,United Kingdom,London Gatwick Airport,London,United Kingdom,LGW,EZY,NA,Mañana
2025-11-14,10:55,THY1301,ESTAMBUL (IST),No informado,Turkish Airlines,Turkey,Istanbul Airport,Istanbul,Turkey,IST,THY,139,Mañana
2025-11-14,11:00,IBE2433,IBIZA (IBZ),No informado,Iberia Airlines,Spain,Ibiza Airport,Ibiza,Spain,IBZ,IBE,1,Mañana
2025-11-14,11:00,RYR1131,NUREMBERG (NUE),No informado,RYANAIR DAC,Ireland,Nuremberg Airport,Nuernberg,Germany,NUE,RYR,170,Mañana
2025-11-14,11:05,TVF4620,PARIS /ORLY (ORY),No informado,Transavia France,France,Paris-Orly Airport,Paris,France,ORY,TVF,159,Mañana
2025-11-14,11:10,RYR993,ROMA /FIUMICINO (FCO),No informado,RYANAIR DAC,Ireland,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,FCO,RYR,170,Mañana
2025-11-14,11:15,AZU7351,LISBOA (LIS),No informado,Azul,Brazil,Humberto Delgado Airport (Lisbon Portela Airport),Lisbon,Portugal,LIS,AZU,0,Mañana
2025-11-14,11:20,IBE5732,BRUSELAS (BRU),No informado,Iberia Airlines,Spain,Brussels Airport,Brussels,Belgium,BRU,IBE,1,Mañana
2025-11-14,11:25,DLH1840,MUNICH (MUC),No informado,Lufthansa,Germany,Munich Airport,Munich,Germany,MUC,DLH,159,Mañana
2025-11-14,11:30,RYR6248,TREVISO/S.ANGELO (MIL) (TSF),No informado,RYANAIR DAC,Ireland,NA,NA,NA,MIL,RYR,170,Mañana
2025-11-14,11:35,AEA4007,PALMA DE MALLORCA (PMI),No informado,Air Europa,Spain,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,AEA,102,Mañana
2025-11-14,11:50,IBB5804,TENERIFE NORTE-C. LA LAGUNA (TFN),No informado,Binter Canarias,Spain,Tenerife Norte Airport,Tenerife,Spain,TFN,IBB,97,Mañana
